idx,question,promql
107,"Consider the root partition file system of nodes with IP in the range of 10.176.122.150 ~ 10.176.122.159, use the data from the past week to predict the available space (GB) in 7 days, and only show the results of the three nodes with the highest current root file system usage.","'predict_linear(node_filesystem_free_bytes{instance=~""10.176.122.15\\\\d:.*"", fstype=""ext4"", mountpoint=""/""}[1w], 3600 * 24 * 7) / 1024 / 1024 / 1024\nand\ntopk(3, 100 - 100 * (node_filesystem_free_bytes{instance=~""10.176.122.15\\\\d:.*"", fstype=""ext4"", mountpoint=""/""} / node_filesystem_size_bytes{fstype=""ext4"", mountpoint=""/""}))'"
108,Calculate the p90 latency of the API that is related to updating station information.,"'histogram_quantile(0.90, rate(traces_spanmetrics_latency_bucket{span_name=""PUT /api/v1/stationservice/stations""}[5m]))'"
109,Which node hosting pods for the ts-voucher-service currently has the most free space on its filesystem on the /dev/sda2 device?,"'topk(1, node_filesystem_free_bytes{instance=~""10.176.122.151:9100|10.176.122.152:9100"", device=""/dev/sda2""})'"
110,Can you show me the number of failed requests from the gateway service to the assurance service in the past 30 minutes?,"'increase(traces_service_graph_request_failed_total{client=""ts-gateway-service"", server=""ts-assurance-service""}[30m])'"
111,How many processes are currently blocked waiting for I/O completion on nodes hosting the tsdb-mysql service?,"'node_procs_blocked{instance=~""10.176.122.153:9100|10.176.122.161:9100|10.176.122.162:9100""}'"
112,Check if any node with IP in the range of 10.176.122.154 to 10.176.122.159 has a root filesystem with less than 10 GB of free space and the average disk write speed exceeds 60 MB/s in the last 30 minutes.,"'node_filesystem_free_bytes{instance=~""10.176.122.15[4-9]:.*"", fstype=""ext4"", mountpoint=""/""} / 1024 / 1024 / 1024 < 10\nand on(instance)\navg(rate(node_disk_written_bytes_total{instance=~""10.176.122.15[4-9]:.*""}[30m])) by(instance) / 1024 / 1024 > 60'"
113,Calculate the 90th percentile request duration from security service to order service in last 5 minutes.,"'histogram_quantile(0.9, rate(traces_service_graph_request_client_seconds_bucket{client=""ts-security-service"", server=""ts-order-service""}[5m]))'"
114,Identify the top three APIs with the highest number of calls among all APIs of the price service in the past hour.,"'topk(3, increase(traces_spanmetrics_calls_total{service=""ts-price-service"", span_kind=""SPAN_KIND_SERVER""}[1h]))'"
115,What is the total amount of memory installed on the nodes hosting the nacosdb-mysql service?,"'machine_memory_bytes{node=~""k8s-node1|k8s-node3|k8s-node5""}'"
116,Which node hosting the seat service currently has the most bytes of cached memory?,"'topk(1, node_memory_Cached_bytes{instance=~""10.176.122.151:9100|10.176.122.153:9100""})'"
117,"Obtain the nodes whose root file system available space is predicted to be less than 3 GB in the next 4 hours (using the data from the previous 4 hours) and whose disk write rate in the last 4 hours exceeds 50 MB/s, and calculate the current usage rate of their root file systems.","'((node_filesystem_size_bytes{mountpoint=""/""} - node_filesystem_free_bytes{mountpoint=""/""}) / node_filesystem_size_bytes{mountpoint=""/""}) * 100\nand\npredict_linear(node_filesystem_free_bytes{mountpoint=""/""}[4h], 4 * 3600) / 1024 / 1024 / 1024 < 3\nand on(instance)\nsum(rate(node_disk_written_bytes_total[4h])) by(instance) / 1024 / 1024 > 50'"
118,"Please find pods whose receiving byte rate is more than 2 times the sending byte rate in the past five minutes and whose total file system read and write rate exceeds 200 KB/s, excluding pods whose total I/O operation time is shorter than 1e-8.",'sum(rate(container_network_receive_bytes_total[5m])) by(pod) / sum(rate(container_network_transmit_bytes_total[5m])) by(pod) > 2\nand\nsum(rate(container_fs_reads_bytes_total[5m]) + rate(container_fs_writes_bytes_total[5m])) by (pod) > 200000\nunless\nsum(rate(container_fs_read_seconds_total[5m]) + rate(container_fs_write_seconds_total[5m])) by (pod) < 1e-8'
119,Which downstream service had the highest total number of failures in all requests made by the rebook service in the past 30 minutes?,"'topk(1, increase(traces_service_graph_request_failed_total{client=""ts-rebook-service""}[30m]))'"
120,Show the total number of threads for all pods of the security service on k8s-node3.,"'sum(container_threads{pod=~""ts-security-service-6cfbd5679-.*"", node=""k8s-node3""})'"
121,"Among all the pods of the ts-order-service, which pod had the highest total number of memory allocation failures in the last 30 minutes?","'topk(1, sum by(pod) (increase(container_memory_failures_total{pod=~""ts-order-service-5cffbb94fd-.*""}[30m])))'"
122,"Can you show me the average latencies for spans within the admin order service that are longer than 0.01 seconds, calculated over the last 5 minutes?","'rate(traces_spanmetrics_latency_sum{service=""ts-admin-order-service""}[5m]) / rate(traces_spanmetrics_latency_count{service=""ts-admin-order-service""}[5m]) > 0.01'"
123,What was the maximum mapped memory usage on node k8s-node1 over the past 24 hours?,"'max_over_time(node_memory_Mapped_bytes{instance=""10.176.122.151:9100""}[24h])'"
124,Could you show me the number of failed requests from the rebook service to the seat service in the past hour?,"'increase(traces_service_graph_request_failed_total{client=""ts-rebook-service"", server=""ts-seat-service""}[1h])'"
125,"What are the downstream services for the seat service? Calculate the average duration of requests from the seat service to all its downstream services over the past 5 minutes, from the client's perspective.","'rate(traces_service_graph_request_client_seconds_sum{client=""ts-seat-service"", server=~""ts-config-service|ts-order-other-service|ts-order-service""}[5m]) / rate(traces_service_graph_request_client_seconds_count{client=""ts-seat-service"", server=~""ts-config-service|ts-order-other-service|ts-order-service""}[5m])'"
126,Which downstream service was requested the most by the seat service over the past day?,"'topk(1, increase(traces_service_graph_request_total{client=""ts-seat-service""}[1d]))'"
127,Which API had more calls in the past day: the API used to register users or the API used to delete users?,"'topk(1, increase(traces_spanmetrics_calls_total{service=""ts-user-service"", span_name=~""POST /api/v1/userservice/users/register|DELETE /api/v1/userservice/users/{userId}""}[1d]))'"
128,What is the rate of bytes per second written to the filesystem by the slowlog container in the tsdb-mysql service over the past 5 minutes?,"'rate(container_fs_writes_bytes_total{container=""slowlog"", pod=~""tsdb-mysql-.*""}[5m])'"
129,What is the average of the total memory usage per container for the ts-admin-order-service deployed on the k8s-node4?,"'avg(container_memory_usage_bytes{pod=~""ts-admin-order-service-68f76f4775-.*"", node=""k8s-node4""})'"
130,"Based on data from the past hour, calculate the 90th percentile latency for the API used to create a new station.","'histogram_quantile(0.9, rate(traces_spanmetrics_latency_bucket{span_name=""POST /api/v1/stationservice/stations""}[1h]))'"
131,"Calculate the 90th percentile latency of the API used to create a trip, based on data from the past five minutes. Determine how this latency has changed compared to the corresponding value from the same period yesterday by calculating the difference.","'histogram_quantile(0.9, rate(traces_spanmetrics_latency_bucket{span_name=""POST /api/v1/travelservice/trips""}[5m])) - histogram_quantile(0.9, rate(traces_spanmetrics_latency_bucket{span_name=""POST /api/v1/travelservice/trips""}[5m] offset 1d))'"
132,Show me the number of calls for each API of the ts-cancel-service in the past hour.,"'increase(traces_spanmetrics_calls_total{service=""ts-cancel-service"", span_name=~""GET /api/v1/cancelservice/cancel/refound/{orderId}|GET /api/v1/cancelservice/cancel/{orderId}/{loginId}""}[1h])'"
133,Calculate the 90th percentile request duration from security service to its downstream services over the past hour.,"'histogram_quantile(0.90, rate(traces_service_graph_request_client_seconds_bucket{client=""ts-security-service""}[1h]))'"
134,How many bytes have the /dev/sda block IO devices used by the containers in the auth service on node k8s-node2 in the past hour?,"'increase(container_blkio_device_usage_total{node=""k8s-node2"", container=""ts-auth-service"", device=""/dev/sda""}[1h])'"
135,What is the average filesystem read byte rate for all containers of the ts-train-service in the last 5 minutes?,"'avg(rate(container_fs_reads_bytes_total{container=""ts-train-service""}[5m]))'"
136,What percentage of the coredns deployment's replicaset are currently ready in the cluster?,"'kube_deployment_status_replicas_ready{deployment=""coredns""} / kube_deployment_status_replicas{deployment=""coredns""}'"
137,How many CPU sockets are there in the nodes that host the pods of the coredns deployment?,"'machine_cpu_sockets{node=~""k8s-node2|k8s-node4""}'"
138,Can you tell me if the packet drop ratio for transmitting or the packet error ratio for the voucher service containers on node1 and node2 exceeded 0.01 over the past 90 minutes?,"'rate(container_network_transmit_errors_total{node=""k8s-node1|k8s-node2"", pod=~""ts-voucher-service-.*""}[90m]) / rate(container_network_transmit_packets_total{node=""k8s-node1|k8s-node2"", pod=~""ts-voucher-service-.*""}[90m]) > 0.01\nor\nrate(container_network_transmit_packets_dropped_total{node=""k8s-node1|k8s-node2"", pod=~""ts-voucher-service-.*""}[90m]) / rate(container_network_transmit_packets_total{node=""k8s-node1|k8s-node2"", pod=~""ts-voucher-service-.*""}[90m]) > 0.01'"
139,What is the total page cache memory currently used by all containers of the gateway service?,"'sum(container_memory_cache{pod=~""ts-gateway-service-6f99b4b794-.*"", container=""ts-gateway-service""})'"
140,"How many TCP sockets are in the orphan state on nodes running the auth service, and what is the ratio of this number to that from one week ago?","'(node_sockstat_TCP_orphan{instance=""10.176.122.152:9100""}) / (node_sockstat_TCP_orphan{instance=""10.176.122.152:9100""} offset 1w)'"
141,"In the past week, which pod in the default namespace, either rebook service or cancel service, had the most restarts?","'topk(1, increase(kube_pod_container_status_restarts_total{pod=~""ts-rebook-service-9b757b65-.*|ts-cancel-service-74d57dff8d-.*"", namespace=""default""}[1w]))'"
142,How many bytes have all the containers of the tsdb-mysql service written to the filesystem in the last 3 hours?,"'sum(increase(container_fs_writes_bytes_total{pod=~""tsdb-mysql-.*""}[3h]))'"
143,Monitor if the network packets transmission error rate for pods of the ts-basic-service exceeds 0.5% and their network bytes receive rate is above 500 KB/s in the last 10 minutes.,"'sum(rate(container_network_transmit_errors_total{pod=~""ts-basic-service-.*""}[10m])) by(pod) \n/ \nsum(rate(container_network_transmit_packets_total{pod=~""ts-basic-service-.*""}[10m])) by(pod) > 0.005\nand\nsum(rate(container_network_receive_bytes_total{pod=~""ts-basic-service-.*""}[10m])) by(pod) / 1024 > 500'"
144,How many network receive errors have been logged on the docker0 device of nodes hosting the tsdb-mysql statefulset in the past 24 hours?,"'sum(increase(node_network_receive_errs_total{instance=~""10.176.122.153:9100|10.176.122.161:9100|10.176.122.162:9100"", device=""docker0""}[24h]))'"
145,Show the percentage of the tsdb-mysql statefulset's replicas are currently ready.,"'(kube_statefulset_status_replicas_ready{statefulset=""tsdb-mysql""} / kube_statefulset_status_replicas_current{statefulset=""tsdb-mysql""}) * 100'"
146,"Query the top 3 CPU usages of nodes whose 5m load average is less than 0.5 and whose memory usage exceeds 50%, and only consider nodes with IP in the range of 10.176.122.150 to 10.176.122.159.","'topk(3, \n    (1 - avg by(instance) (rate(node_cpu_seconds_total{instance=~""10.176.122.15.*"", mode=""idle""}[5m]))) * 100 and on(instance) node_load5 < 0.5\n    and on(instance)\n    (node_memory_MemTotal_bytes{instance=~""10.176.122.15.*""} - node_memory_MemAvailable_bytes{}) / node_memory_MemTotal_bytes{} * 100 > 50\n)'"
147,"What are the APIs in the ts-user-service? Among these, which one has had the highest average latency over the past 5 minutes?","'topk(1, rate(traces_spanmetrics_latency_sum{service=""ts-user-service"", span_kind=""SPAN_KIND_SERVER""}[5m]) / rate(traces_spanmetrics_latency_count{service=""ts-user-service"", span_kind=""SPAN_KIND_SERVER""}[5m]))'"
148,"Perform a linear prediction of the number of open file descriptors on k8s-node1 and k8s-node2, respectively, based on the last hour's data and predicting forward for the next four hours.","'predict_linear(process_open_fds{node=~""k8s-node1|k8s-node2""}[1h], 14400)'"
149,What is the difference in allocated memory for UDP datagrams in the kernel's tx queue between now and one hour ago on k8s-node1 and k8s-node2?,"'delta(node_udp_queues{instance=~""10.176.122.151:9100|10.176.122.152:9100"", queue=""tx""}[1h])'"
150,Calculate the difference in average request duration for the security service to its downstream services over the past 5 minutes by subtracting the average duration from the same period last week from the current average.,"'(rate(traces_service_graph_request_client_seconds_sum{client=""ts-security-service""}[5m]) / rate(traces_service_graph_request_client_seconds_count{client=""ts-security-service""}[5m])) - (rate(traces_service_graph_request_client_seconds_sum{client=""ts-security-service""}[5m] offset 1w) / rate(traces_service_graph_request_client_seconds_count{client=""ts-security-service""}[5m] offset 1w))'"
151,What is the current working set size of memory (in bytes) for all pods in the rabbitmq deployment?,"'sum by (pod) (container_memory_working_set_bytes{pod=""rabbitmq-7dffdd7bb8-5v4q6""})'"
152,"In the past hour, which pods on node 'k8s-master' in the 'obs' namespace and using the 'eth0' interface had network transmission errors?","'increase(container_network_transmit_errors_total{node=""k8s-master"", namespace=""obs"", interface=""eth0""}[1h])'"
153,Use data from the past hour to perform a linear prediction of the number of UDP sockets in the mem state on nodes hosting RabbitMQ pods for the next 5 minutes.,"'predict_linear(node_sockstat_UDP_mem{instance=""10.176.122.161:9100""}[1h], 300)'"
154,What is the total number of restarts for all pods of the seat service over the past day?,"'sum(increase(kube_pod_container_status_restarts_total{pod=~""ts-seat-service-5b97bc9fb5-.*""}[1d]))'"
155,How many TCP sockets are currently in the orphan state on the k8s-master and k8s-node1 nodes?,"'node_sockstat_TCP_orphan{instance=~""10.176.122.154:9100|10.176.122.151:9100""}'"
156,How many throttling periods did the containers of the voucher service on k8s-node2 experience in the past 4 hours?,"'increase(container_cpu_cfs_throttled_periods_total{container=""ts-voucher-service"", node=""k8s-node2""}[4h])'"
157,Display the average latency of all downstream APIs of the 'pay for the order' API over the past 5 minutes.,"'rate(traces_spanmetrics_latency_sum{span_name=~""GET /api/v1/orderOtherService/orderOther/status/{orderId}/{status}|GET /api/v1/orderOtherService/orderOther/{orderId}|GET /api/v1/orderservice/order/status/{orderId}/{status}|GET /api/v1/orderservice/order/{orderId}|POST /api/v1/paymentservice/payment""}[5m]) / rate(traces_spanmetrics_latency_count{span_name=~""GET /api/v1/orderOtherService/orderOther/status/{orderId}/{status}|GET /api/v1/orderOtherService/orderOther/{orderId}|GET /api/v1/orderservice/order/status/{orderId}/{status}|GET /api/v1/orderservice/order/{orderId}|POST /api/v1/paymentservice/payment""}[5m])'"
158,"Monitor the pods of the ticket cancellation service to determine if any pods were restarted in the past hour and now have memory usage greater than 8GB, while excluding pods whose memory usage is less than 60% of the requested limit resource.","'sum(increase(kube_pod_container_status_restarts_total{pod=~""ts-cancel-service-.*""}[1h])) by (pod) > 0\nand\nsum(container_memory_working_set_bytes{pod=~""ts-cancel-service-.*""}) by(pod) / 1024 / 1024 / 1024 > 8\nunless\nsum(container_memory_working_set_bytes{pod=~""ts-cancel-service-.*""}) by(pod) * 100 / sum(kube_pod_container_resource_limits{pod=~""ts-cancel-service-.*"", resource=""memory"", unit=""byte""}) by(pod) < 60'"
159,How many write operations have been completed by the containers of the voucher service on node k8s-node1 in the last 30 minutes?,"'increase(container_fs_writes_total{container=""ts-voucher-service"", node=""k8s-node1""}[30m])'"
160,What was the peak number of orphan TCP sockets on the nodes running the news service in the past 30 minutes?,"'max_over_time(node_sockstat_TCP_orphan{instance=~""10.176.122.151:9100|10.176.122.161:9100""}[30m])'"
161,Calculate the change in the network transmission error rate of the containers of service managing user informations and auth operation on the k8s-node2 node between the current 30 minutes and the previous 30 minutes.,"'rate(container_network_transmit_errors_total{node=""k8s-node2"", pod=~""ts-auth-service-.*""}[30m]) / rate(container_network_transmit_packets_total{node=""k8s-node2"", pod=~""ts-auth-service-.*""}[30m])\n-\nrate(container_network_transmit_errors_total{node=""k8s-node2"", pod=~""ts-auth-service-.*""}[30m] offset 30m) / rate(container_network_transmit_packets_total{node=""k8s-node2"", pod=~""ts-auth-service-.*""}[30m] offset 30m)'"
162,"How rapidly have the write operations increased for the containers of the voucher service on node k8s-node2, according to the last two data points from the past 5 minutes?","'irate(container_fs_writes_total{container=""ts-voucher-service"", node=""k8s-node2""}[5m])'"
163,Show the three containers with the highest RSS usage on the node k8s-master in the obs namespace.,"'topk(3, container_memory_rss{node=""k8s-master"", namespace=""obs""})'"
164,Display the current memory dirty bytes for all nodes where the tsdb-mysql service is deployed.,"'node_memory_Dirty_bytes{instance=~""10.176.122.153:9100|10.176.122.161:9100|10.176.122.162:9100""}'"
165,"Calculate the disk usage of the root partition of the node where the downstream services (pods) of ts-inside-payment-service are located, find the top three, and only display the root partitions with a filesystem size greater than 90GB.","'topk(3, 100 - 100 * (node_filesystem_free_bytes{instance=~""10.176.122.15[123]:.*|10.176.122.162:.*"", fstype=""ext4"", mountpoint=""/""} / node_filesystem_size_bytes{instance=~""10.176.122.15[123]:.*|10.176.122.162:.*"", fstype=""ext4"", mountpoint=""/""}))\nand\nnode_filesystem_size_bytes{instance=~""10.176.122.15[123]:.*|10.176.122.162:.*"", fstype=""ext4"", mountpoint=""/""} / 1024 / 1024 / 1024 > 90'"
166,Show the filesystem bytes usage ratio for all containers that have a filesystem bytes usage ratio greater than 60% on the node k8s-master.,"'(container_fs_usage_bytes{node=""k8s-master""} / container_fs_limit_bytes{node=""k8s-master""}) * 100 > 60'"
167,Which APIs are provided by verification code service? Calculate the 99th percentile latency of these APIs based on data from the past five minutes.,"'histogram_quantile(0.99, rate(traces_spanmetrics_latency_bucket{span_name=~""GET /api/v1/verifycode/generate|GET /api/v1/verifycode/verify/{verifyCode}""}[5m]))'"
168,"In the past 30 minutes, how many requests did the gateway service send to the auth service and the verification code service?","'increase(traces_service_graph_request_total{client=""ts-gateway-service"", server=~""ts-auth-service|ts-verification-code-service""}[30m])'"
169,Calculate the total number of TCP sockets in the 'tw' state across all nodes where the service that provides the API for creating trips is deployed.,"'sum(node_sockstat_TCP_tw{instance=~""10.176.122.151:9100|10.176.122.161:9100""})'"
170,What is the per-second rate of bytes received by the lo network device on nodes hosting the gateway service over the last 5 minutes?,"'rate(node_network_receive_bytes_total{instance=~""10.176.122.152:9100|10.176.122.162:9100"", device=""lo""}[5m])'"
171,How has the 5-minute load average on k8s-node1 and k8s-node2 changed over the past hour?,"'delta(node_load5{instance=~""10.176.122.151:9100|10.176.122.152:9100""}[1h])'"
172,How many bytes has the nodes hosting the execute service written to the dm-0 device disk in the past 24 hours?,"'increase(node_disk_written_bytes_total{device=""dm-0"", instance=~""10.176.122.151:9100|10.176.122.162:9100""}[24h])'"
173,Show me the maximum memory usage of all containers for the verification code service over the past 24 hours.,"'max_over_time(container_memory_max_usage_bytes{pod=~""ts-verification-code-service-6445455b6c-.*""}[24h])'"
174,How has the number of runnable processes changed on the k8s-node1 and k8s-node2 nodes in the last hour?,"'delta(node_procs_running{instance=~""10.176.122.151:9100|10.176.122.152:9100""}[1h])'"
175,"Return the total page cache memory for all containers in the ts-train-food-service, and aggregated by node.","'sum(container_memory_cache{pod=~""ts-train-food-service-6cc445bdd5-.*""}) by (node)'"
176,Query the total number of processes across all containers of the service that provides the API for creating new stations.,"'sum(container_processes{pod=~""ts-station-service-69dd95ff9d-.*""})'"
177,Predict the nodes with free space on the tmpfs filesystem that is less than 1 GB in the next hour (using data from the previous 2 hours) and whose disk write rate in the last 5 minutes exceeds 10 MB/s.,"'predict_linear(node_filesystem_free_bytes{device=""tmpfs""}[2h], 3600) / 1024 / 1024 / 1024 < 1\nand on(instance)\nsum(rate(node_disk_written_bytes_total[5m])) by(instance) / 1024 / 1024 > 10'"
178,I need the total number of failed requests from the execute service to its downstream services in the last hour.,"'increase(traces_service_graph_request_failed_total{client=""ts-execute-service""}[1h])'"
179,"Calculate the average latency of the UserController.registerUser API operation, based on data from the past five minutes.","'rate(traces_spanmetrics_latency_sum{span_name=""UserController.registerUser""}[5m]) / rate(traces_spanmetrics_latency_count{span_name=""UserController.registerUser""}[5m])'"
180,What percentage of replicas in the ts-voucher-service deployment are currently ready in the cluster?,"'kube_deployment_status_replicas_ready{deployment=""ts-voucher-service""} / kube_deployment_status_replicas{deployment=""ts-voucher-service""}'"
181,Identify all APIs available in the food service. Calculate the p80 latency for these APIs over a 5-minute window and calculate the difference between the current value and the value from one week ago.,"'histogram_quantile(0.80, rate(traces_spanmetrics_latency_bucket{service=""ts-food-service"",  span_name=~""GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId}|POST /api/v1/foodservice/createOrderBatch""}[5m])) - histogram_quantile(0.80, rate(traces_spanmetrics_latency_bucket{service=""ts-food-service"",  span_name=~""GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId}|POST /api/v1/foodservice/createOrderBatch""}[5m] offset 1w))'"
182,"Check whether the following occurs: during the past five minutes, among different pods of the same service, the longest pod CPU usage time exceeds 1.5 times the shortest pod CPU usage time. Note that only pods with names matching ts-.*-service are considered.","'topk(1, label_replace(sum(rate(container_cpu_usage_seconds_total{pod=~""ts-.*-service-.*""}[5m])) by (pod), ""service"", ""$1"", ""pod"", ""(ts-.*-service)-.*"")) by(service) \n/ on(service)\nbottomk(1, label_replace(sum(rate(container_cpu_usage_seconds_total{pod=~""ts-.*-service-.*""}[5m])) by (pod), ""service"", ""$1"", ""pod"", ""(ts-.*-service)-.*"")) by(service) > 1.5'"
183,What was the average rate of disk read time per second for the nodes hosting the tsdb-mysql service over the past 5 minutes?,"'avg by (instance) (rate(node_disk_read_time_seconds_total{instance=~""10.176.122.153:9100|10.176.122.161:9100|10.176.122.162:9100""}[5m]))'"
184,Display the rate per second for all spans recorded by the rebook service over the past five minutes.,"'rate(traces_spanmetrics_calls_total{service=""ts-rebook-service""}[5m])'"
185,"Calculate the difference between the current rate of CPU usage and the rate of CPU usage from the same time one week ago for all containers of the gateway service, using a 5-minute window for the rate calculation.","'rate(container_cpu_usage_seconds_total{pod=~""ts-gateway-service-6f99b4b794-.*""}[5m]) - rate(container_cpu_usage_seconds_total{pod=~""ts-gateway-service-6f99b4b794-.*""}[5m] offset 1w)'"
186,Calculate p99 requests latency from auth service to its downstream services in last 5 minutes.,"'histogram_quantile(0.99, rate(traces_service_graph_request_client_seconds_bucket{client=""ts-auth-service"", server=""ts-verification-code-service""}[5m]))'"
187,"Show the filesystem usage and limits for all containers of the ts-payment-service deployed on node k8s-node2, and calculate the free space left.","'container_fs_limit_bytes{container=""ts-payment-service"", node=""k8s-node2"", pod=""ts-payment-service-bcd86c6d7-h2kfz""} - container_fs_usage_bytes{container=""ts-payment-service"", node=""k8s-node2"", pod=""ts-payment-service-bcd86c6d7-h2kfz""}'"
188,What is the average of the total memory usage per container for the ts-admin-order-service?,"'sum(container_memory_usage_bytes{container=""ts-admin-order-service""})\n/\ncount(container_memory_usage_bytes{container=""ts-admin-order-service""})'"
189,Show the network receive bytes growth rate for the pod that has the highest network receive bytes growth rate among all pods of the ts-verification-code-service.,"'topk(1, rate(container_network_receive_bytes_total{pod=~""ts-verification-code-service-6445455b6c-.*""}[5m]))'"
190,I need the number of calls in the past five minutes for all APIs invoked by the 'POST /api/v1/travel2service/trips/left' API.,"'increase(traces_spanmetrics_calls_total{span_name=~""POST /api/v1/basicservice/basic/travels|POST /api/v1/seatservice/seats/left_tickets""}[5m])'"
191,Show the number of network packet receive errors on the eth0 interface for all pods of the ts-order-other-service deployed on node k8s-node3 in the last hour.,"'increase(container_network_receive_errors_total{interface=""eth0"", node=""k8s-node3"", pod=~""ts-order-other-service-599787b58b.*""}[1h])'"
192,Are there any nodes hosting the security service that have less than 5 GB of free space on the sda2 device and an average disk write speed that exceeds 10 MB/s in the last 30 minutes?,"'node_filesystem_free_bytes{device=""/dev/sda2"", instance=""10.176.122.153:9100""} / 1024 / 1024 / 1024 < 5\nand on(instance)\navg(rate(node_disk_written_bytes_total{instance=""10.176.122.153:9100""}[30m])) by(instance) / 1024 / 1024 > 10'"
193,How much time did the containers of the auth service spend on filesystem write operations in the past hour?,"'increase(container_fs_write_seconds_total{container=""ts-auth-service""}[1h])'"
194,Show the total memory cache usage summarized by each pod for the verification code service.,"'sum by (pod) (container_memory_cache{pod=~""ts-verification-code-service-6445455b6c-.*""})'"
195,"Monitor the CPU time proportion in different modes of nodes whose ip are in the range of 10.176.122.151~10.176.122.153 during the past 1 minute, excluding nodes that have less than 16 cores.","'label_replace(sum(rate(node_cpu_seconds_total{instance=~""10.176.122.15[1-3]:.*""}[1m])) by(mode, instance) / ignoring(mode) group_left sum(rate(node_cpu_seconds_total{}[1m])) by(instance), ""node"", ""$1"", ""instance"", ""(.*):.*"")\nunless on(node)\nlabel_replace(machine_cpu_cores{instance=~""10.176.122.15[1-3]:.*""}, ""node"", ""$1"", ""instance"", ""(.*):.*"") < 16'"
196,Show the average request duration over a 5-minute window from the seat service to the config service.,"'rate(traces_service_graph_request_client_seconds_sum{client=""ts-seat-service"", server=""ts-config-service""}[5m]) / rate(traces_service_graph_request_client_seconds_count{client=""ts-seat-service"", server=""ts-config-service""}[5m])'"
197,"Check whether some average request duration (from the client's perspective) of the ts-auth-service as a client exceeds the threshold 0.003 seconds, or as a server exceeds the threshold 0.2 seconds during the past 5 minutes.","'rate(traces_service_graph_request_client_seconds_sum{client=""ts-auth-service""}[5m]) / rate(traces_service_graph_request_client_seconds_count{client=""ts-auth-service""}[5m]) > 0.003\nor\nrate(traces_service_graph_request_client_seconds_sum{server=""ts-auth-service""}[5m]) / rate(traces_service_graph_request_client_seconds_count{server=""ts-auth-service""}[5m]) > 0.2'"
198,Show me average latency for getting all foods API over a 5-minute window.,"'rate(traces_spanmetrics_latency_sum{span_name=""GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId}""}[5m]) / rate(traces_spanmetrics_latency_count{span_name=""GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId}""}[5m])'"
199,"For the nodes hosting the gateway service, what is the rate of CPU idle time for each instance in the past 5 minutes?","'rate(node_cpu_seconds_total{mode=""idle"", instance=~""10.176.122.152:9100|10.176.122.162:9100""}[5m])'"
200,Show me if the packet drop ratio for receiving or transmitting network packets of the containers for the rebook service on the k8s-node4 node exceeded 0.05 in the past 30 minutes.,"'rate(container_network_receive_packets_dropped_total{node=""k8s-node4"", pod=~""ts-rebook-service-.*""}[30m]) / rate(container_network_receive_packets_total{node=""k8s-node4"", pod=~""ts-rebook-service-.*""}[30m]) > 0.05\nor\nrate(container_network_transmit_packets_dropped_total{node=""k8s-node4"", pod=~""ts-rebook-service-.*""}[30m]) / rate(container_network_transmit_packets_total{node=""k8s-node4"", pod=~""ts-rebook-service-.*""}[30m]) > 0.05'"
201,"Calculate the average latency for the API used to delete a trip, based on data from the past five minutes. Return the difference between this value and that from the same period a week ago.","'rate(traces_spanmetrics_latency_sum{span_name=""DELETE /api/v1/travelservice/trips/{tripId}""}[5m]) / rate(traces_spanmetrics_latency_count{span_name=""DELETE /api/v1/travelservice/trips/{tripId}""}[5m]) - rate(traces_spanmetrics_latency_sum{span_name=""DELETE /api/v1/travelservice/trips/{tripId}""}[5m] offset 1w) / rate(traces_spanmetrics_latency_count{span_name=""DELETE /api/v1/travelservice/trips/{tripId}""}[5m] offset 1w)'"
202,Show the total number of network packet receive errors on the eth0 for all pods of the admin user service in the last hour.,"'sum(increase(container_network_receive_errors_total{interface=""eth0"", pod=~""ts-admin-user-service-7d94ff5bc6-.*""}[1h]))'"
203,Show the average ratio of used to allocated TCP sockets on k8s-node1 over the last hour.,"'avg_over_time((node_sockstat_TCP_inuse{instance=""10.176.122.151:9100""} / node_sockstat_TCP_alloc{instance=""10.176.122.151:9100""})[1h:])'"
204,"Calculate the 80th percentile request duration from the client's perspective for calls from the auth service to the verification code service, using data from the past five minutes.","'histogram_quantile(0.8, rate(traces_service_graph_request_client_seconds_bucket{client=""ts-auth-service"", server=""ts-verification-code-service""}[5m]))'"
205,"Calculate the difference in the rate of memory allocation failures for all containers of the notification service in the last hour compared to the previous hour, using a 5-minute window for the rate calculation.","'rate(container_memory_failures_total{pod=~""ts-notification-service-54b94867b9-.*""}[5m]) - rate(container_memory_failures_total{pod=~""ts-notification-service-54b94867b9-.*""}[5m] offset 1h)'"
